Brand,Model,Age,KmDriven,Transmission,Owner,FuelType,Price
Honda,City,276,98000.0,Manual,second,Petrol,195000.0
Toyota,Innova Crysta,180,190000.0,Manual,second,Diesel,375000.0
Volkswagen,Vento,168,77246.0,Manual,first,Diesel,184999.0
Maruti Suzuki,Swift,84,83500.0,Manual,second,Diesel,565000.0
Maruti Suzuki,Baleno,60,45000.0,Automatic,first,Petrol,685000.0
BMW,X3,120,83000.0,Automatic,first,Diesel,1350000.0
Toyota,Innova Crysta,120,168000.0,Manual,second,Diesel,1025000.0
BMW,5 Series,60,25000.0,Automatic,second,Diesel,5950000.0
Maruti Suzuki,Swift Dzire,48,33759.0,Manual,second,Petrol,622000.0
Ford,Ecosport,84,69713.0,Manual,second,Petrol,649000.0
Maruti Suzuki,Alto,72,70000.0,Automatic,first,Petrol,395000.0
Kia,Carnival,36,25000.0,Automatic,first,Diesel,2900000.0
Maruti Suzuki,Swift Dzire,144,72700.0,Manual,second,Petrol,240000.0
Toyota,Corolla,204,121931.0,Automatic,second,Petrol,201350.0
Mercedes-Benz,GLE,36,32000.0,Automatic,second,Petrol,11800000.0
Hyundai,Xcent,72,130000.0,Manual,second,Diesel,330000.0
Kia,Seltos,48,68000.0,Manual,first,Diesel,1045000.0
Maruti Suzuki,Ertiga,96,65000.0,Manual,second,Diesel,785000.0
Maruti Suzuki,Ertiga,84,59000.0,Automatic,second,Petrol,555000.0
BMW,3 Series,108,61000.0,Automatic,second,Diesel,1500000.0
Ford,Endeavour,60,77000.0,Automatic,second,Diesel,2399000.0
Toyota,Innova Crysta,84,107000.0,Automatic,first,Diesel,1325000.0
Honda,City,168,99000.0,Manual,first,Petrol,295000.0
Audi,A3,108,42000.0,Automatic,second,Diesel,1050000.0
Renault,Kwid,60,48073.0,Automatic,second,Petrol,355000.0
MG,Hector,60,32618.0,Automatic,first,Petrol,1250000.0
Maruti Suzuki,Swift Dzire,144,70000.0,Manual,second,Diesel,315000.0
Maruti Suzuki,Celerio,120,51000.0,Automatic,second,Petrol,345000.0
Maruti Suzuki,Vitara-Brezza,72,137000.0,Manual,first,Diesel,845000.0
Toyota,Fortuner,12,1996.0,Automatic,first,Diesel,4195000.0
Toyota,Innova Crysta,84,90000.0,Manual,second,Diesel,1950000.0
Toyota,Innova Crysta,156,84000.0,Manual,second,Diesel,490000.0
Volvo,S90,72,53000.0,Automatic,first,Diesel,2950000.0
Hyundai,Venue,36,17000.0,Manual,first,Petrol,685000.0
Maruti Suzuki,Ertiga,72,70000.0,Manual,second,Petrol,749000.0
Hyundai,Creta,12,5000.0,Automatic,first,Petrol,1600000.0
Hyundai,Alcazar,24,47110.0,Manual,second,Diesel,1695000.0
Hyundai,i20,60,35000.0,Manual,first,Petrol,585000.0
Mercedes-Benz,E-Class,60,101570.0,Automatic,first,Diesel,4200000.0
Volkswagen,Polo,36,42000.0,Manual,second,Petrol,675000.0
Maruti Suzuki,Baleno,72,30000.0,Manual,second,Petrol,630000.0
Hyundai,Verna,96,82100.0,Manual,second,Diesel,465000.0
Audi,A4,144,90000.0,Automatic,second,Diesel,899000.0
Toyota,Fortuner,156,193000.0,Manual,second,Diesel,1125000.0
Mercedes-Benz,C-Class,108,65000.0,Automatic,first,Diesel,1750000.0
Hyundai,Creta,24,30000.0,Automatic,second,Petrol,1690000.0
Maruti Suzuki,Swift Dzire,48,94856.0,Manual,first,Petrol,690000.0
Skoda,Kushaq,12,12000.0,Automatic,first,Petrol,1800000.0
Maruti Suzuki,Ciaz,72,0.0,Manual,first,Petrol,500000.0
Tata,Safari,168,500000.0,Manual,first,Diesel,800000.0
Toyota,Innova Crysta,72,118000.0,Automatic,first,Diesel,1795000.0
Mercedes-Benz,C-Class,96,41000.0,Automatic,second,Petrol,2000000.0
Honda,City,168,79000.0,Manual,second,Petrol,290000.0
Honda,BRV,96,103001.0,Manual,second,Diesel,555555.0
Hyundai,Creta,84,70000.0,Manual,second,Petrol,765000.0
Renault,Duster,72,130000.0,Manual,first,Diesel,690000.0
Maruti Suzuki,Wagon-R,156,78000.0,Manual,second,Petrol,225000.0
Toyota,Fortuner,84,115000.0,Automatic,second,Diesel,2390000.0
Mahindra,Bolero,84,160000.0,Manual,second,Diesel,550000.0
Hyundai,Eon,84,27000.0,Manual,second,Petrol,300000.0
MG,Hector,48,81600.0,Automatic,first,Petrol,1021000.0
Hyundai,Creta,84,54000.0,Automatic,first,Petrol,811000.0
Mahindra,XUV500,72,76000.0,Manual,first,Diesel,1125000.0
Mercedes-Benz,GLS,120,86000.0,Automatic,first,Diesel,3000000.0
Hyundai,i10,156,65000.0,Manual,second,Petrol,115000.0
Mercedes-Benz,GLA,72,60000.0,Automatic,second,Diesel,1450000.0
Kia,Carens,12,24000.0,Manual,first,Petrol,1225000.0
Toyota,Innova Crysta,156,100231.0,Manual,second,Diesel,429101.0
Maruti Suzuki,Ignis,12,13000.0,Manual,second,Petrol,610000.0
Hyundai,i10,84,47000.0,Manual,first,Petrol,519999.0
Hyundai,Getz,204,115031.0,Manual,second,Petrol,140000.0
Maruti Suzuki,Swift,120,67000.0,Manual,first,Petrol,280000.0
Hyundai,Xcent,96,74500.0,Manual,first,Diesel,425000.0
Honda,City,96,93000.0,Automatic,second,Petrol,575000.0
Maruti Suzuki,Ritz,108,59000.0,Manual,first,Petrol,295000.0
Toyota,Innova Crysta,84,79000.0,Automatic,second,Diesel,1725000.0
Hyundai,Verna,24,69000.0,Automatic,first,Diesel,1250000.0
Hyundai,Creta,108,76000.0,Automatic,second,Diesel,650000.0
Kia,Sonet,48,34500.0,Automatic,first,Petrol,935000.0
Ford,Ecosport,96,130000.0,Manual,second,Diesel,400000.0
Mercedes-Benz,GLC,24,20000.0,Automatic,first,Diesel,7500000.0
Mahindra,Scorpio,12,15905.0,Automatic,first,Diesel,2350000.0
Toyota,Innova Crysta,36,21000.0,Manual,first,Diesel,2125000.0
Mini,Cooper 3,60,13000.0,Automatic,first,Petrol,3950000.0
Maruti Suzuki,Ertiga,108,75000.0,Manual,first,Diesel,435000.0
