Brand,Model,Age,KmDriven,Transmission,Owner,FuelType,Price
Ambassador,Classic,192,80000,Manual,third,Diesel,135000.0
Audi,A3,60,79271,Automatic,first,Diesel,1650000.0
Audi,A3,24,22000,Automatic,second,Diesel,2250000.0
Audi,A3,36,20003,Automatic,first,Diesel,1925000.0
Audi,A3,36,39000,Automatic,first,Diesel,1889999.9999999998
Audi,A4,72,40670,Automatic,second,Diesel,1773999.9999999998
Audi,A4,48,13648,Automatic,first,Diesel,2143000.0
Audi,A4,84,65664,Automatic,first,Diesel,1350000.0
Audi,A4,108,30000,Automatic,first,Diesel,980000.0000000001
Audi,A4,48,48214,Automatic,first,Diesel,2332000.0
Audi,A4,72,45979,Automatic,second,Diesel,1950000.0
Audi,A4,96,46000,Automatic,second,Diesel,1099000.0
Audi,A4,84,47346,Automatic,first,Diesel,1450000.0
Audi,A4,96,59000,Automatic,first,Diesel,1250000.0
Audi,A4,120,34000,Automatic,first,Diesel,994999.9999999999
Audi,A4,48,45000,Automatic,first,Diesel,2500000.0
Audi,A4,60,77395,Automatic,first,Diesel,1435000.0
Audi,A4,72,36000,Automatic,second,Diesel,1400000.0
Audi,A4,36,68193,Automatic,first,Diesel,2474000.0
Audi,A4,60,21000,Automatic,first,Diesel,2450000.0
Audi,A4,84,60000,Automatic,second,Diesel,1035000.0
Audi,A4,84,46913,Automatic,first,Diesel,1611000.0
Audi,A4,72,45330,Automatic,first,Diesel,1319000.0
Audi,A4,60,70000,Automatic,first,Diesel,1800000.0
Audi,A4,72,82002,Automatic,second,Diesel,1750000.0
Audi,A4,84,44555,Automatic,first,Diesel,1350000.0
Audi,A4,72,67000,Automatic,first,Diesel,1450000.0
Audi,A4,60,24000,Automatic,first,Diesel,2500000.0
Audi,A4,96,105000,Automatic,second,Diesel,1450000.0
Audi,A4,72,45200,Automatic,first,Diesel,1350000.0
Audi,A4,48,50000,Automatic,first,Diesel,2500000.0
Audi,A4,96,38000,Automatic,first,Petrol,1200000.0
Audi,A4,60,60000,Automatic,first,Diesel,2400000.0
Audi,A4,72,87000,Automatic,first,Diesel,1550000.0
Audi,A4,96,85000,Automatic,first,Diesel,1395000.0
Audi,A4,36,11000,Automatic,first,Diesel,2800000.0
Audi,A4,36,39644,Automatic,first,Diesel,2575000.0
Audi,A4,48,21979,Automatic,first,Diesel,2345000.0
Audi,A4,60,57773,Automatic,second,Diesel,2004000.0
Audi,A4,108,38001,Automatic,first,Petrol,850000.0
Audi,A4,60,53000,Automatic,first,Diesel,2050000.0
Audi,A4,48,32205,Automatic,first,Diesel,2531000.0
Audi,A4,24,61221,Automatic,first,Petrol,2173000.0
Audi,A4,84,69000,Automatic,second,Diesel,1025000.0
Audi,A4,72,60001,Automatic,first,Diesel,1450000.0
Audi,A4,96,53000,Automatic,first,Petrol,950000.0
Audi,A4,60,40000,Automatic,first,Diesel,2250000.0
Audi,A4,84,74002,Automatic,first,Diesel,1850000.0
Audi,A4,36,39237,Automatic,first,Diesel,2564000.0
Audi,A4,84,60000,Automatic,second,Diesel,1600000.0
Audi,A4,108,59000,Automatic,first,Diesel,1000000.0
Audi,A4,60,40000,Automatic,first,Diesel,1750000.0
Audi,A4,48,58970,Automatic,first,Diesel,2375000.0
Audi,A4,72,76000,Automatic,second,Diesel,1825000.0
Audi,A4,84,125000,Automatic,first,Petrol,1800000.0
Audi,A4,48,35463,Automatic,first,Diesel,2502000.0
